id,bType,vMag,zone,maxVm,minVm,vAng,P,Q,name,pos,capacity,orient,points
24,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 24,"[1184, 384]",3,180,"[[1184, 384], [1152, 384], [1120, 384]]"
25,BusType.SLACK,345.0,2,1.06,0.94,NaN,NaN,NaN,Bus 25,"[416, 224]",4,180,"[[416, 224], [384, 224], [352, 224], [320, 224]]"
26,BusType.SLACK,345.0,2,1.06,0.94,NaN,NaN,NaN,Bus 26,"[704, 224]",4,180,"[[704, 224], [672, 224], [640, 224], [608, 224]]"
27,BusType.SLACK,345.0,2,1.06,0.94,NaN,NaN,NaN,Bus 27,"[704, 288]",2,180,"[[704, 288], [672, 288]]"
28,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 28,"[1024, 224]",3,180,"[[1024, 224], [992, 224], [960, 224]]"
29,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 29,"[1376, 224]",4,180,"[[1376, 224], [1344, 224], [1312, 224], [1280, 224]]"
30,BusType.SLACK,345.0,2,1.06,0.94,NaN,NaN,NaN,Bus 30,"[192, 96]",1,180,"[[192, 96]]"
31,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 31,"[576, 1088]",3,180,"[[576, 1088], [544, 1088], [512, 1088]]"
32,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 32,"[704, 1408]",1,180,"[[704, 1408]]"
33,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 33,"[1120, 1024]",1,180,"[[1120, 1024]]"
34,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 34,"[992, 1216]",1,180,"[[992, 1216]]"
35,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 35,"[1344, 416]",1,180,"[[1344, 416]]"
36,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 36,"[1344, 960]",1,180,"[[1344, 960]]"
37,BusType.SLACK,345.0,2,1.06,0.94,NaN,NaN,NaN,Bus 37,"[384, 32]",1,180,"[[384, 32]]"
38,BusType.SLACK,345.0,3,1.06,0.94,NaN,NaN,NaN,Bus 38,"[1344, 32]",1,180,"[[1344, 32]]"
39,BusType.SLACK,345.0,1,1.06,0.94,NaN,NaN,NaN,Bus 39,"[160, 672]",4,180,"[[160, 672], [128, 672], [96, 672], [64, 672]]"
